,time,cycleSlipratio,average CN0,average Elevation,vis satellite number,hDop,pDop,ValidLNum,aveEleOfValid,scene
291,61101.0,0.025641,40.0,47.624596,31.0,1.248568,1.55966,28.0,45.118802,other
292,61102.0,0.025641,40.0,47.45516,30.0,1.248573,1.559622,28.0,45.118962,other
293,61103.0,0.025641,40.0,47.454084,30.0,1.248578,1.559583,26.0,45.267034,other
294,61104.0,0.025641,40.0,47.474924,30.0,1.248583,1.559545,28.0,45.64736,other
295,61105.0,0.025641,39.0,47.546689,30.0,1.248588,1.559507,27.0,45.96287,other
296,61106.0,0.025641,39.0,47.545629,30.0,1.183381,1.454197,26.0,45.167017,other
297,61107.0,0.025641,40.0,47.261749,31.0,1.183341,1.45415,27.0,44.963944,other
298,61108.0,0.025641,40.0,47.261243,31.0,1.209406,1.496398,27.0,44.964242,other
299,61109.0,0.025641,40.0,47.260444,31.0,1.248609,1.559353,29.0,44.42111,other
300,61110.0,0.0,40.0,47.312627,29.0,1.248614,1.559315,27.0,45.773177,other
